,x,y,z
122,-1.0,6.09999999999999,-0.8
123,-1.3,6.09999999999999,-0.8999999999999999
124,0.0,7.09999999999999,-1.1
125,1.0,7.09999999999999,-1.1
126,1.7000000000000002,7.09999999999999,-1.1
127,-1.0,7.09999999999999,-1.1
128,-1.1,7.09999999999999,-1.3
129,0.0,8.099999999999989,-1.3
130,1.0,8.099999999999989,-1.4000000000000001
131,1.7999999999999998,8.099999999999989,-1.2
132,-0.8,8.099999999999989,-1.3
